sales_rank,overall_rating,positive,negative,no_of_reviews,discount_value,discount_rate
1,4.5,89,6,5098,124,62
3,4.1,73,14,1624,89,45
9,4.7,93,3,953,111,44
11,4.3,84,11,1199,236,47
4,4.6,91,5,3672,80,53
15,4.5,90,6,3616,174,44
2,4.2,80,17,219,162,46
22,4.6,91,4,781,97,49
74,3.4,51,32,239,155,48
53,4.4,86,5,369,121,48
369,4.7,100,3,4,95,38
17,4.2,79,10,548,11,37
151,4,73,15,492,96,49
28,4.6,90,5,2938,91,46
37,4.5,91,6,126,151,23
72,4.6,91,5,2147,177,45
14,4.3,84,5,66,72,24
78,4.5,90,4,548,94,47
16,4.6,92,3,3865,141,40
98,4.7,94,3,205,301,46
302,4.5,86,5,44,91,36
76,4.5,91,5,98,41,29
64,4.7,93,5,439,83,42
27,4.7,93,4,1267,133,44
8,4.2,77,10,13,45,16
47,4.3,84,10,1101,230,33
26,4.5,91,5,2685,100,50
95,4.2,80,13,672,161,40
23,4.7,94,4,50,133,38
50,4.5,88,5,1014,125,50
712,4.6,91,3,34,51,34
524,4.3,82,13,315,303,43
126,4.3,84,10,1040,201,40
20,4.5,89,6,88,376,38
110,4.7,93,6,133,115,46
73,4.1,75,13,463,58,46
684,4.3,87,10,31,500,33
68,4.4,88,5,2812,82,47
86,4.5,92,4,154,76,61
41,4.3,83,11,714,138,46
56,4.6,94,8,37,296,25
102,4.1,75,14,546,100,28
277,5,104,3,7,91,36
563,4.6,92,5,326,79,20
19,3.5,57,31,26,119,16
35,3.9,67,20,15,230,32
276,4,77,16,308,102,34
201,3.9,75,19,31,71,26
59,3.7,70,32,20,205,29
329,3.9,76,14,8,51,30
198,4.5,88,6,2181,93,47
69,4.5,90,6,3616,113,45
128,4.4,83,9,326,10,10
96,4.5,87,6,770,82,55
153,4.5,90,5,183,120,30
272,4.1,81,12,41,10,17
573,4.6,92,3,13,91,36
266,4.5,91,5,256,135,45
52,5,104,3,12,102,34
88,4.1,77,15,378,259,35
275,4.3,82,8,717,195,30
438,4.3,86,7,36,10,17
263,4.7,94,2,140,475,56
293,4.5,100,3,4,78,20
105,4.5,87,9,1621,370,46
62,4.5,89,6,143,292,33
775,4.8,100,3,32,91,36
261,4.6,91,3,345,10,5
215,4.3,84,16,37,81,32
104,4.5,89,4,295,98,49
44,4,71,15,2876,69,46
55,3.6,59,23,17,206,30
397,4.1,80,11,105,80,23
46,4.7,95,3,323,151,38
148,4.8,100,3,8,111.02,15
148,4.8,100,3,8,111.02,15
51,4.4,87,7,752,107,55
245,3.8,67,13,9,51,30
672,4.7,95,3,102,575,68
628,4.4,88,6,110,16,20
363,4.4,88,5,122,75,30
7,4.1,77,15,3352,218,30
138,4.1,74,14,148,88,59
607,3.9,71,34,3,40,20
394,4.4,83,3,6,146,31
533,4.4,100,3,3,32,11
683,4.4,91,8,89,30,24
420,4,74,14,206,82,55
133,4.2,82,10,171,16,23
391,3.9,69,17,59,254,42
585,4.6,91,4,57,62,25
527,3.4,54,27,26,195,28
183,4.3,83,12,351,51,34
567,4.2,86,3,7,172,46
616,4.8,95,3,152,137,46
826,4.5,84,6,19,75,56
470,4.5,100,3,12,70,28
35,4.6,92,4,2693,223,56
526,4.6,91,4,57,62,25
450,4.2,84,9,237,71,28
505,4.5,89,6,246,52,12
122,4.7,95,2,284,84,42
795,4.2,89,13,9,100,40
81,4.6,92,7,143,120,48
44,4.5,88,5,1025,102,41
274,4.5,88,6,2193,84,42
29,4.3,83,11,726,143,48
232,4.5,88,5,125,201,31
36,4.5,91,5,112,21,18
26,4.1,78,11,373,103,69
302,4,74,16,215,96,64
318,4.5,94,12,10,59,20
941,4.4,90,12,10,20,29
514,4,77,12,39,89,10
305,4.3,83,12,329,201,40
158,3.9,70,18,300,124,50
939,4.2,85,11,28,136,31
495,4.5,96,3,46,35,12
624,4.2,85,15,20,260,26
533,4.4,86,8,99,161,40
394,4.4,90,7,78,36,30
252,4.6,91,6,624,181,40
673,4.5,100,3,2,80,32
593,4.7,93,4,973,144,48
559,5,104,3,5,210,35
391,4.1,77,12,129,5,20
85,4.1,77,15,391,219,32
409,4.5,91,5,127,50,40
771,4.2,83,18,6,135,34
805,4.4,90,7,40,16,20
25,4.7,93,4,1304,143,48
24,4.4,86,7,111,75,25
112,4.7,94,3,229,301,46
224,4.3,79,10,1832,184,46
63,4,84,10,12,17,7
185,4.4,85,9,142,229,43
